text,tokens,ner_tags
A patient with stage 2 हृदय रोग underwent an emergency Angioplasty procedure due to severe chest pain and बुखार after an abnormal Lipid Profile report.,"['A', 'patient', 'with', 'stage 2', 'हृदय रोग', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'chest pain', 'and', 'बुखार', 'after', 'an', 'abnormal', 'Lipid Profile', 'report', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-TEST', 'O', 'O']"
"A 35-year-old patient, diagnosed with मधुमेह (Diabetes) and हृदय रोग (Cardiac disease), was administered 5mg Metformin and 20mg Atorvastatin daily after a routine ब्लड टेस्ट (Blood test) and ECG report.","['A', '35-year-old', 'patient', ',', 'diagnosed', 'with', 'मधुमेह', '(Diabetes)', 'and', 'हृदय', 'रोग', '(Cardiac', 'disease)', ',', 'was', 'administered', '5mg', 'Metformin', 'and', '20mg', 'Atorvastatin', 'daily', 'after', 'a', 'routine', 'ब्लड', 'टेस्ट', '(Blood', 'test)', 'and', 'ECG', 'report', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'I-TEST', 'O', 'B-TEST', 'O', 'O']"
Patient was diagnosed with stage 2 हृदय रोग and prescribed 25mg Metoprolol twice daily after a chest pain episode and abnormal lipid profile report.,"['Patient', 'was', 'diagnosed', 'with', 'stage 2', 'हृदय रोग', 'and', 'prescribed', '25mg', 'Metoprolol', 'twice daily', 'after', 'a', 'chest pain', 'episode', 'and', 'abnormal', 'lipid profile', 'report', '.']","['O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-TEST', 'O', 'O']"
The patient with तेज़ बुखार and सिर दर्द underwent an urgent CT scan and was prescribed 500mg Paracetamol twice daily for 5 days.,"['The', 'patient', 'with', 'तेज़', 'बुखार', 'and', 'सिर', 'दर्द', 'underwent', 'an', 'urgent', 'CT', 'scan', 'and', 'was', 'prescribed', '500mg', 'Paracetamol', 'twice', 'daily', 'for', '5', 'days', '.']","['O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'O']"
"Patient को तेज़ बुखार और सिर दर्द के साथ Angioplasty के बाद 5mg Aspirin और 200mL IV fluids दिए गए, लेकिन उन्हें ECG और Blood Test के लिए भेजा गया।","['Patient', 'को', 'तेज़', 'बुखार', 'और', 'सिर', 'दर्द', 'के', 'साथ', 'Angioplasty', 'के', 'बाद', '5mg', 'Aspirin', 'और', '200mL', 'IV', 'fluids', 'दिए', 'गए', ',', 'लेकिन', 'उन्हें', 'ECG', 'और', 'Blood', 'Test', 'के', 'लिए', 'भेजा', 'गया', '।']","['O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'O', 'I-MEDICATION', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O']"
"The patient with type 2 मधुमेह was admitted to the ICU for सीने में दर्द and underwent an emergency Angioplasty after a cardiac arrest, and was prescribed 10mg Aspirin and 40mg Atorvastatin daily.","['The', 'patient', 'with', 'type 2', 'मधुमेह', 'was', 'admitted', 'to', 'the', 'ICU', 'for', 'सीने', 'में', 'दर्द', 'and', 'underwent', 'an', 'emergency', 'Angioplasty', 'after', 'a', 'cardiac', 'arrest', ',', 'and', 'was', 'prescribed', '10mg', 'Aspirin', 'and', '40mg', 'Atorvastatin', 'daily', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O']"
The patient who underwent Angioplasty was prescribed 5mg Aspirin twice daily to manage हृदय रोग and was advised to undergo a monthly Lipid Profile ब्लड टेस्ट to monitor cholesterol levels.,"['The', 'patient', 'who', 'underwent', 'Angioplasty', 'was', 'prescribed', '5mg', 'Aspirin', 'twice', 'daily', 'to', 'manage', 'हृदय', 'रोग', 'and', 'was', 'advised', 'to', 'undergo', 'a', 'monthly', 'Lipid', 'Profile', 'ब्लड', 'टेस्ट', 'to', 'monitor', 'cholesterol', 'levels', '.']","['O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O']"
"Patient को तेज़ सिर दर्द और बुखार था, इसलिए doctor ने उसे 5mg Paracetamol और एक ब्लड टेस्ट कराने के लिए कहा।","['Patient', 'को', 'तेज़', 'सिर', 'दर्द', 'और', 'बुखार', 'था', ',', 'इसलिए', 'doctor', 'ने', 'उसे', '5mg', 'Paracetamol', 'और', 'एक', 'ब्लड', 'टेस्ट', 'कराने', 'के', 'लिए', 'कहा', '।']","['O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O']"
Patient with stage 2 डायबिटीज़ was admitted to ICU for severe हाइपोग्लाइसीमिया after an abnormal लिपिड प्रोफाइल report and was prescribed 5mg Glimepiride twice daily.,"['Patient', 'with', 'stage 2', 'डायबिटीज़', 'was', 'admitted', 'to', 'ICU', 'for', 'severe', 'हाइपोग्लाइसीमिया', 'after', 'an', 'abnormal', 'लिपिड प्रोफाइल', 'report', 'and', 'was', 'prescribed', '5mg', 'Glimepiride', 'twice', 'daily', '.']","['O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O']"
A patient with chronic हृदय रोग underwent an emergency angioplasty due to severe chest pain and तेज़ बुखार after a series of ECG and blood tests.,"['A', 'patient', 'with', 'chronic', 'हृदय रोग', 'underwent', 'an', 'emergency', 'angiplasty', 'due', 'to', 'severe', 'chest pain', 'and', 'तेज़', 'बुखार', 'after', 'a', 'series', 'of', 'ECG', 'and', 'blood tests', '.']","['O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'I-TEST', 'O']"
